Date,Laptops,LCDs,LEDs,PCs,Mouses,Keyboards,GPUs,Speakers,Microphones,Cables
01/07/24,20,48,48,0,19,13,8,9,23,12
02/07/24,20,5,39,30,47,9,37,42,49,31
03/07/24,3,16,7,37,38,29,41,13,25,26
04/07/24,43,29,0,26,21,17,19,49,7,47
05/07/24,19,48,30,39,28,8,32,34,25,6
06/07/24,45,33,11,30,6,23,38,44,11,36
07/07/24,39,39,5,44,21,28,28,34,36,1
08/07/24,9,14,27,10,6,22,24,26,9,46
09/07/24,34,40,7,0,45,33,38,5,34,25
10/07/24,7,9,16,17,41,19,5,22,14,21
11/07/24,23,0,30,43,42,20,46,20,31,34
12/07/24,3,7,3,14,28,1,23,46,37,36
13/07/24,28,2,20,45,5,47,36,45,1,7
14/07/24,38,12,14,18,32,28,13,17,49,43
15/07/24,11,21,16,26,37,48,6,0,14,10
16/07/24,5,25,47,27,13,42,29,40,18,4
17/07/24,45,17,47,39,29,9,38,18,25,12
18/07/24,48,12,24,18,14,19,13,2,8,43
19/07/24,40,34,21,20,16,43,1,11,45,47
20/07/24,15,28,46,48,42,43,20,20,42,48
21/07/24,45,32,4,5,4,0,4,26,10,17
22/07/24,10,27,24,16,45,48,24,33,32,2
23/07/24,30,46,15,32,3,26,40,1,0,45
24/07/24,22,5,37,29,21,11,22,18,7,24
25/07/24,36,9,27,45,18,33,6,33,8,31
26/07/24,41,35,32,27,2,1,29,13,34,26
27/07/24,4,3,12,27,10,12,7,0,23,38
28/07/24,32,11,21,2,40,3,48,25,15,3
29/07/24,12,34,45,44,10,30,4,32,26,39
30/07/24,43,14,38,4,17,44,13,1,24,1
31/07/24,10,39,12,44,21,36,9,21,27,47
